country_code,error(1-day),error(2-day),mean of consecutive difference,total data points,number of outliers, how much we took(%)
AL,51.1815731659933,66.0225642063218,11.974358974358974,117,19,83.76068376068376
DZ,12.220249666037605,17.665100471668097,18.120689655172413,116,22,81.03448275862068
AD,212.89529220779224,276.6399711399712,6.0,45,6,86.66666666666667
AO,66.57164241467646,82.217408320626,14.428571428571429,84,20,76.19047619047619
AG,75.45454545454545,89.0909090909091,7.5,12,2,83.33333333333334
AR,70.00611735529446,97.80966278026422,305.79824561403507,114,24,78.94736842105263
AM,22.86018823843977,25.1481736737592,95.40869565217392,115,22,80.8695652173913
AW,66.66666666666667,46.875,0.0,8,8,0.0
AU,71.44151630608958,87.42590145998686,53.072072072072075,111,25,77.47747747747748
AT,53.14752559854006,54.00677451839971,26.704347826086956,115,23,80.0
AZ,17.19874406946673,20.08345914397589,25.82758620689655,116,21,81.89655172413794
BS,73.83048120143808,88.4988195392508,9.222222222222221,54,13,75.92592592592592
BH,21.582697163554553,86.83801284238436,88.05217391304348,115,22,80.8695652173913
BD,12.352897033991853,14.913487398161433,258.88034188034186,117,24,79.48717948717949
BB,89.56521739130434,127.17391304347827,1.5862068965517242,29,7,75.86206896551724
BY,9.951210960007398,10.575663447984255,44.81739130434783,115,9,92.17391304347827
BE,31.127578895663646,36.62507989051727,102.98198198198199,111,22,80.18018018018019
BZ,50.775193798449614,93.6046511627907,53.0,1,0,100.0
BJ,106.54662892280136,147.98977829485654,32.875,48,13,72.91666666666666
BT,77.47747747747748,73.33333333333333,2.046511627906977,43,7,83.72093023255815
BO,30.37897796064604,30.18726448493115,202.03603603603602,111,23,79.27927927927928
BA,47.357531746150045,45.841015539187666,74.01010101010101,99,16,83.83838383838383
BW,83.33333333333333,60.0,50.333333333333336,3,1,66.66666666666666
BR,35.42787977899399,42.11295679532834,7357.045454545455,110,20,81.81818181818183
BN,100.0,100.0,0.5,4,2,50.0
BG,39.71858806791871,47.51447878878958,35.86842105263158,114,29,74.56140350877193
BF,102.2671670011487,140.17854856813665,6.879518072289157,83,15,81.92771084337349
BI,50.0,100.0,2.5,2,1,50.0
KH,123.29365079365081,144.84126984126982,6.888888888888889,27,7,74.07407407407408
CM,175.4517946201585,115.93488713789574,279.84313725490193,51,6,88.23529411764706
CA,33.19133403532391,37.248227080376246,191.07894736842104,114,19,83.33333333333334
CV,78.18373000829165,97.74713369266225,15.75,100,23,77.0
KY,66.87841838526772,45.66454027740508,1.0,8,2,75.0
